LocalId;GlobalId;Age;Gender;Region;CityCode;TotalSpent;TotalPur;FirstPur;LastPur;NovelPur;ChildPur;YouthPur;CookPur;DiyPur;RefPur;ArtPur;GeogPur;ProvCook;ProvAtlas;ProvArt;RelPur;ProvPur
1;25;56;0;SW;M;297;5;16/07/2012;14;3;0;1;1;0;0;0;0;0;0;0;0;No
2;29;23;1;NE;S;128;4;13/07/2013;8;2;0;0;0;0;0;0;0;0;0;0;0;No
3;46;61;0;NE;D;138;10;04/09/2009;22;3;2;1;2;0;1;0;1;1;0;0;2;No
4;47;30;0;SW;G;228;2;09/03/2014;2;1;0;0;0;0;0;0;0;0;0;0;0;No
5;51;NA;0;SE;C;257;3;09/07/2013;10;2;0;0;0;0;0;0;0;0;0;0;0;No
6;60;29;0;SE;B;145;4;10/05/2013;6;2;0;0;0;0;0;0;0;0;0;0;0;No
7;61;61;0;NE;K;190;3;13/01/2013;16;2;0;0;0;0;0;0;1;0;0;0;1;No
8;79;58;0;SW;P;187;4;26/03/2013;14;3;1;0;0;0;0;0;0;0;0;0;0;No
9;81;41;0;SE;R;252;4;16/07/2013;10;3;0;0;0;0;0;0;0;0;0;0;0;No
10;90;71;0;NE;F;240;5;20/09/2012;6;2;0;0;1;0;0;0;0;0;0;0;0;No
11;95;NA;0;NE;Q;275;5;05/09/2012;2;1;0;0;1;0;0;0;0;0;0;0;0;No
12;100;36;1;NE;D;320;4;17/11/2012;2;1;0;0;0;0;0;1;0;0;0;0;1;Yes
13;103;62;0;NE;Q;268;1;16/01/2014;4;0;0;0;0;0;0;0;0;0;0;0;0;Yes
14;112;45;1;SE;R;135;3;28/03/2013;14;2;1;0;0;0;0;0;0;0;0;0;0;No
15;116;37;0;NE;J;213;4;02/07/2013;4;2;0;0;0;0;0;0;0;0;0;0;0;No
16;121;NA;0;SW;M;256;12;09/07/2009;14;3;2;0;3;0;1;1;2;1;1;1;6;No
17;125;66;0;NE;J;226;9;27/01/2012;14;3;2;1;2;0;0;1;0;1;0;0;2;No
18;126;16;1;NW;L;81;3;01/07/2012;22;2;0;0;1;0;0;0;0;0;0;0;0;No
19;127;67;0;SE;B;330;13;20/03/2011;10;3;0;0;2;2;1;1;0;0;0;0;1;No
20;145;37;0;NE;J;393;16;17/03/2010;12;5;3;0;2;0;0;2;3;0;0;0;5;Yes
21;164;65;0;SE;C;213;1;18/03/2014;2;0;0;0;0;0;0;0;0;0;0;0;0;No
22;169;62;0;SW;P;243;1;15/07/2013;10;0;0;0;0;0;0;0;0;0;0;0;0;No
23;193;48;0;SW;N;63;2;07/01/2014;4;1;0;0;0;0;0;0;0;0;0;0;0;No
24;201;64;0;NE;D;57;2;14/03/2014;2;1;0;0;0;0;0;0;0;0;0;0;0;No
25;202;50;1;SW;G;260;18;17/03/2008;34;7;0;2;3;5;0;1;0;0;0;0;1;No
26;208;59;0;NE;K;32;4;22/09/2011;26;2;1;0;0;0;0;0;1;0;0;0;1;No
27;214;32;1;NE;Q;177;2;28/05/2012;24;1;0;0;0;0;0;1;0;0;0;0;1;No
28;224;30;0;NE;E;33;2;25/05/2013;12;1;0;0;0;0;0;0;0;0;0;0;0;No
29;225;35;0;SE;C;172;3;07/01/2013;16;2;0;0;0;0;1;0;0;0;0;0;0;No
30;256;50;0;SW;M;133;4;02/05/2011;32;2;1;0;1;0;0;0;0;1;0;0;1;No
31;257;29;0;SE;B;194;5;05/11/2011;28;3;1;0;1;0;0;0;0;1;0;0;1;No
32;263;45;1;NE;Q;32;3;09/03/2013;14;2;0;0;0;0;0;1;0;0;0;0;1;No
33;265;44;0;SW;G;352;14;11/11/2008;12;3;4;1;3;1;0;1;0;2;0;1;4;No
34;266;56;0;NE;E;319;13;24/09/2011;12;5;2;1;1;1;0;0;1;0;0;0;1;No
35;267;62;0;NE;S;242;9;03/09/2011;10;4;0;0;2;0;1;1;0;0;0;0;1;No
36;275;32;0;NE;Q;78;3;25/07/2013;6;1;0;0;0;0;0;0;0;0;0;0;0;No
37;277;35;0;SE;R;223;13;20/09/2010;16;6;2;1;1;1;0;2;0;1;0;1;4;No
38;282;15;0;NE;S;285;16;09/01/2010;14;5;2;0;3;4;0;1;1;1;0;0;3;No
39;288;71;1;SW;G;312;14;06/07/2009;36;4;2;2;2;1;1;1;1;1;1;1;5;No
40;330;30;1;NW;L;211;15;01/09/2010;6;4;3;2;2;0;0;2;1;2;0;1;6;No
